JPG name,Start Age （Ma）,End Age （Ma）
Map1a_PALEOMAP_PaleoAtlas_000.jpg,1.00 ,0.00 
Map2a_Last_Glacial_Maximum_001.jpg,2.58 ,1.00 
Map3a_Pliocene_004.jpg,5.33 ,2.58 
Map4a_Messinian_Event_006.jpg,7.25 ,5.33 
Map5a_Late_Miocene_010.jpg,11.63 ,7.25 
Map6a_Middle_Miocene_015.jpg,15.99 ,11.63 
Map7a_Early_Miocene_020.jpg,20.45 ,15.99 
Map8a_Late_Oligocene_025.jpg,27.30 ,20.45 
Map9a_Early_Oligocene_030.jpg,33.90 ,27.30 
Map10a_Late_Eocene_035.jpg,37.70 ,33.90 
Map11a_MIddle_Eocene_040.jpg,41.00 ,37.70 
Map12a_early_Middle_Eocene_045.jpg,48.10 ,41.00 
Map13a_Early_Eocene_050.jpg,50.00 ,48.10 
Map14a_PETM_055.jpg,56.00 ,50.00 
Map15a_Paleocene_060.jpg,61.70 ,56.00 
Map16a_KT_Boundary_066.jpg,66.00 ,61.70 
Map17a_LtK_Maastrichtian_070.jpg,72.20 ,66.00 
Map18a_LtK_Late_Campanian_075.jpg,77.95 ,72.20 
Map19a_LtK_Early_Campanian_080.jpg,83.70 ,77.95 
Map21a_LtK_Turonian_090.jpg,93.90 ,83.70 
Map22a_LtK_Cenomanian_095.jpg,100.50 ,93.90 
Map23a_EK_Late_Albian_100.jpg,104.73 ,100.50 
Map24a_EK_Middle_Albian_105.jpg,108.97 ,104.73 
Map25a_EK_Early_Albian_110.jpg,113.20 ,108.97 
Map26a_EK_Late_Aptian_115.jpg,117.30 ,113.20 
Map27a_EK_Early_Albian_120.jpg,121.40 ,117.30 
Map28a_EK_Barremian_125.jpg,126.50 ,121.40 
Map29a_EK_Hauterivian_130.jpg,132.60 ,126.50 
Map30a_EK_Valangian_135.jpg,137.70 ,132.60 
Map31a_EK_Berriasian_140.jpg,143.10 ,137.70 
Map32a_Jurassic-Cretaceous_Boundary_145.jpg,145.00 ,143.10 
Map33a_LtJ_Tithonian_150.jpg,149.20 ,145.00 
Map34a_LtJ_Kimmeridgian_155.jpg,154.80 ,149.20 
Map35a_LtJ_Oxfordian_160.jpg,161.50 ,154.80 
Map36a_MJ_Callovian_165.jpg,165.30 ,161.50 
Map37a_MJ_Bajocian&Bathonian_170.jpg,170.90 ,165.30 
Map38a_MJ_Aalenian_175.jpg,174.70 ,170.90 
Map39a_EJ_Toarcian_180.jpg,184.20 ,174.70 
Map40a_EJ_Pliensbachian_185.jpg,192.90 ,184.20 
Map41a_EJ_Sinemurian_190.jpg,199.50 ,192.90 
Map42a_EJ_Hettangian_195.jpg,201.40 ,199.50 
Map43a_Triassic-Jurassic_Boundary_200.jpg,205.70 ,201.40 
Map44a_LtTr_Norian_210.jpg,227.30 ,205.70 
Map45a_LtTr_Carnian_220.jpg,237.00 ,227.30 
Map46a_MTr_Ladinian_230.jpg,241.50 ,237.00 
Map47a_MTr_Anisian_240.jpg,246.70 ,241.50 
Map48a_ETr_Induan-Olenekian_245.jpg,251.90 ,246.70 
Map49a_Permo-Triassic_Boundary_250.jpg,254.20 ,251.90 
Map50a_LtP_Lopingian_255.jpg,259.50 ,254.20 
Map51a_LtP_Capitanian_260.jpg,264.30 ,259.50 
Map52a_MP_Roadian&Wordian_270.jpg,274.40 ,264.30 
Map53a_EP_Kungurian_275.jpg,283.30 ,274.40 
Map54a_EP_Artinskian_280.jpg,290.50 ,283.30 
Map55a_EP_Sakmarian_290.jpg,293.50 ,290.50 
Map56a_EP_Asselian_295.jpg,298.90 ,293.50 
Map57a_LtCarb_Gzhelian_300.jpg,303.7,298.90 
Map58a_LtCarb_Kasimovian_305.jpg,307,303.7
Map59a_LtCarb_Moscovian_310.jpg,315.2,307
Map60a_LtCarb_Bashkirian_315.jpg,323.4,315.2
Map61a_ECarb_Serpukhovian_320.jpg,330.3,323.4
Map62a_ECarb_Late_Visean_330.jpg,338.5,330.3
Map63a_ECarb_Early_Visean_340.jpg,346.7,338.5
Map64a_ECarb_Tournaisian_350.jpg,355,346.7
Map65a_Devono-Carboniferous_Boundary_360.jpg,365,355
Map66a_LtD_Famennian_370.jpg,371.1,365
Map67a_LtD_Frasnian_380.jpg,378.9,371.1
Map68a_MD_Givetian_390.jpg,385.3,378.9
Map69a_MD_Eifelian_395.jpg,394.3,385.3
Map70a_ED_Emsian_400.jpg,410.5,394.3
Map71a_ED_Pragian_410.jpg,412.4,410.5
Map72a_ED_Lochlovian_415.jpg,419,412.4
Map73a_LtS_Ludlow&Pridoli_420.jpg,426.7,419
Map74a_MS_Wenlock_425.jpg,432.9,426.7
Map75a_ES_late_Llandovery_430.jpg,438.6,432.9
Map76a_ES_early_Llandovery_440.jpg,443.1,438.6
Map77a_LtO_Hirnantian_445.jpg,445.2,443.1
Map78a_LtO_Sandbian-Katian_450.jpg,458.2,445.2
Map79a_LtO_Caradoc_460.jpg,460,458.2
Map80a_LtO_Darwillian_461.jpg,469.4,460
Map81a_EO_Floian-Dapingian_470.jpg,477.1,469.4
Map82a_EO_Tremadoc_480.jpg,486.9,477.1
Map83a_Cambro-Ordovician_Boundary_490.jpg,490,486.9
Map84a_LtC_Furongian_500.jpg,497,490
Map85a_early_Late_Cambrian_Series_3_510.jpg,509,497
Map86a_Middle_Cambrian_Series_2_520.jpg,521,509
Map87a_Early_Cambrian_Terreneuvian_530.jpg,535,521
Map88a_Precambrian-Cambrian_Boundary_540.jpg,545,535
Map90a_Middle_Ediacaran_600.jpg,600,545
Map92a_Late_Cryogenian_690.jpg,690,600
Map93a_MIddle_Cryogenian_750.jpg,750,690
,,