Digital Elevation Mode (DEM) file name,Start Age ��Ma��,End Age ��Ma��
Map01_PALEOMAP_6min_Holocene_0Ma.nc,0.0117,0
Map03_PALEOMAP_6min_Pliocene_5Ma.nc,5.332,0.0118
Map08_PALEOMAP_6min_Late_Oligocene_25Ma.nc,24.99,5.333
Map13_PALEOMAP_6min_Early_Eocene_50Ma.nc,49.99,25
Map18_PALEOMAP_6min_Late_Cretaceous_75Ma.nc,74.99,50
Map23_PALEOMAP_6min_Early_Cretaceous_100Ma.nc,99.99,75
Map28_PALEOMAP_6min_Early_Cretaceous_125Ma.nc,124.99,100
Map33_PALEOMAP_6min_Late_Jurassic_150Ma.nc,149.99,125
Map38_PALEOMAP_6min_Middle_Jurassic_175Ma.nc,174.99,150
Map43_PALEOMAP_6min_Late_Triassic_200Ma.nc,199.99,175
Map45.5_PALEOMAP_6min_Late_Triassic_225Ma.nc,224.99,200
Map49_PALEOMAP_6min_Permo-Triassic-Boundary_250Ma.nc,249.99,225
Map53_PALEOMAP_6min_Early_Permian_275Ma.nc,274.99,250
Map57_PALEOMAP_6min_Late_Pennsylvanian_300Ma.nc,299.99,275
Map61_PALEOMAP_6min_Late_Mississippian_325Ma.nc,324.99,300
Map64_PALEOMAP_6min_Early_Mississippian_350Ma.nc,349.99,325
Map66.5_PALEOMAP_6min_Late_Devonian_375Ma.nc,374.99,350
Map70_PALEOMAP_6min_Early_Devonian_400Ma.nc,399.99,375
Map74_PALEOMAP_6min_Late_Silurian_425Ma.nc,424.99,400
Map78_PALEOMAP_6min_Late_Ordovician_450Ma.nc,449.99,425
Map81.5_PALEOMAP_6min_Early_Ordovician_475Ma.nc,474.99,450
Map84_PALEOMAP_6min_late_Middle_Cambrian_500Ma.nc,499.99,475
Map84.1_PALEOMAP_6min_late_Middle_Cambrian_505Ma.nc,504.99,500
Map84.2_PALEOMAP_6min_early_Middle_Cambrian_510Ma.nc,509.99,505
Map85_PALEOMAP_6min_early_Middle_Cambrian_515Ma.nc,514.99,510
Map86_PALEOMAP_6min_Early_Middle_Cambrian_boundary_520Ma.nc,519.99,515
Map86.5_PALEOMAP_6min_Early_Cambrian_525Ma.nc,524.99,520
Map87_PALEOMAP_6min_Early_Cambrian_530Ma.nc,529.99,525
Map87.5_PALEOMAP_6min_Early_Cambrian_535Ma.nc,534.99,530
Map88_PALEOMAP_6min_Cambrian_Precambrian-Boundary_540Ma.nc,541,540